1 MESSAGETABLE
{
0x0,  	"The operation completed successfully."
68,  	"The name limit for the local computer network adapter card was exceeded."
69,  	"The network BIOS session limit was exceeded."
70,  	"The remote server has been paused or is in the process of being started."
71,  	"No more connections can be made to this remote computer at this time because there are already as many connections as the computer can accept."
72,  	"The specified printer or disk device has been paused."
80,  	"The file exists."
82,  	"The directory or file cannot be created."
83,  	"Fail on INT 24."
84,  	"Storage to process this request is not available."
85,  	"The local device name is already in use."
86,  	"The specified network password is not correct."
87,  	"The parameter is incorrect."
88,  	"A write fault occurred on the network."
89,  	"The system cannot start another process at this time."
100,  	"Cannot create another system semaphore."
101,  	"The exclusive semaphore is owned by another process."
102,  	"The semaphore is set and cannot be closed."
103,  	"The semaphore cannot be set again."
104,  	"Cannot request exclusive semaphores at interrupt time."
105,  	"The previous ownership of this semaphore has ended."
106,  	"Insert the diskette for drive %1."
107,  	"The program stopped because an alternate diskette was not inserted."
108,  	"The disk is in use or locked by another process."
109,  	"The pipe has been ended."
110,  	"The system cannot open the device or file specified."
111,  	"The file name is too long."
112,  	"There is not enough space on the disk."
113,  	"No more internal file identifiers available."
114,  	"The target internal file identifier is incorrect."
117,  	"The IOCTL call made by the application program is not correct."
118,  	"The verify-on-write switch parameter value is not correct."
119,  	"The system does not support the command requested."
120,  	"This function is not supported on this system."
121,  	"The semaphore timeout period has expired."
122,  	"The data area passed to a system call is too small."
123,  	"The filename, directory name, or volume label syntax is incorrect."
124,  	"The system call level is not correct."
125,  	"The disk has no volume label."
126,  	"The specified module could not be found."
127,  	"The specified procedure could not be found."
128,  	"There are no child processes to wait for."
129,  	"The %1 application cannot be run in Win32 mode."
130,  	"Attempt to use a file handle to an open disk partition for an operation other than raw disk I/O."
131,  	"An attempt was made to move the file pointer before the beginning of the file."
132,  	"The file pointer cannot be set on the specified device or file."
133,  	"A JOIN or SUBST command cannot be used for a drive that contains previously joined drives."
134,  	"An attempt was made to use a JOIN or SUBST command on a drive that has already been joined."
135,  	"An attempt was made to use a JOIN or SUBST command on a drive that has already been substituted."
136,  	"The system tried to delete the JOIN of a drive that is not joined."
137,  	"The system tried to delete the substitution of a drive that is not substituted."
138,  	"The system tried to join a drive to a directory on a joined drive."
139,  	"The system tried to substitute a drive to a directory on a substituted drive."
140,  	"The system tried to join a drive to a directory on a substituted drive."
141,  	"The system tried to SUBST a drive to a directory on a joined drive."
142,  	"The system cannot perform a JOIN or SUBST at this time."
143,  	"The system cannot join or substitute a drive to or for a directory on the same drive."
144,  	"The directory is not a subdirectory of the root directory."
145,  	"The directory is not empty."
146,  	"The path specified is being used in a substitute."
147,  	"Not enough resources are available to process this command."
148,  	"The path specified cannot be used at this time."
149,  	"An attempt was made to join or substitute a drive for which a directory on the drive is the target of a previous substitute."
150,  	"System trace information was not specified in your CONFIG.SYS file, or tracing is disallowed."
151,  	"The number of specified semaphore events for DosMuxSemWait is not correct."
152,  	"DosMuxSemWait did not execute; too many semaphores are already set."
153,  	"The DosMuxSemWait list is not correct."
154,  	"The volume label you entered exceeds the label character limit of the target file system."
155,  	"Cannot create another thread."
156,  	"The recipient process has refused the signal."
157,  	"The segment is already discarded and cannot be locked."
158,  	"The segment is already unlocked."
159,  	"The address for the thread ID is not correct."
160,  	"One or more arguments are not correct."
161,  	"The specified path is invalid."
162,  	"A signal is already pending."
164,  	"No more threads can be created in the system."
167,  	"Unable to lock a region of a file."
170,  	"The requested resource is in use."
173,  	"A lock request was not outstanding for the supplied cancel region."
174,  	"The file system does not support atomic changes to the lock type."
180,  	"The system detected a segment number that was not correct."
182,  	"The operating system cannot run %1."
183,  	"Cannot create a file when that file already exists."
186,  	"The flag passed is not correct."
187,  	"The specified system semaphore name was not found."
188,  	"The operating system cannot run %1."
189,  	"The operating system cannot run %1."
190,  	"The operating system cannot run %1."
191,  	"Cannot run %1 in Win32 mode."
192,  	"The operating system cannot run %1."
193,  	"%1 is not a valid Win32 application."
194,  	"The operating system cannot run %1."
195,  	"The operating system cannot run %1."
196,  	"The operating system cannot run this application program."
197,  	"The operating system is not presently configured to run this application."
198,  	"The operating system cannot run %1."
199,  	"The operating system cannot run this application program."
200,  	"The code segment cannot be greater than or equal to 64K."
201,  	"The operating system cannot run %1."
202,  	"The operating system cannot run %1."
203,  	"The system could not find the environment option that was entered."
205,  	"No process in the command subtree has a signal handler."
206,  	"The filename or extension is too long."
207,  	"The ring 2 stack is in use."
208,  	"The global filename characters, * or ?, are entered incorrectly or too many global filename characters are specified."
209,  	"The signal being posted is not correct."
210,  	"The signal handler cannot be set."
212,  	"The segment is locked and cannot be reallocated."
214,  	"Too many dynamic-link modules are attached to this program or dynamic-link module."
215,  	"Cannot nest calls to LoadModule."
216,  	"The image file %1 is valid, but is for a machine type other than the current machine."
230,  	"The pipe state is invalid."
231,  	"All pipe instances are busy."
232,  	"The pipe is being closed."
233,  	"No process is on the other end of the pipe."
234,  	"More data is available."
240,  	"The session was canceled."
254,  	"The specified extended attribute name was invalid."
255,  	"The extended attributes are inconsistent."
258,  	"The wait operation timed out."
259,  	"No more data is available."

260,  	"A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link."
261,  	"Returned by enumeration APIs to indicate more information is available to successive calls."
262,  	"Indicates not all privileges referenced are assigned to the caller.\nThis allows, for example, all privileges to be disabled without having to know exactly which privileges are assigned."
263,  	"Some of the information to be translated has not been translated."
264,  	"An open/create operation completed while an oplock break is underway."
265,  	"A new volume has been mounted by a file system."

266,  	"The copy functions cannot be used."
267,  	"The directory name is invalid."

268,  	"This indicates that a notify change request is being completed and that the information is not being returned in the caller's buffer.\nThe caller now needs to enumerate the files to find the changes."
269,  	"{No Quotas}\nNo system quota limits are specifically set for this account."
270,  	"{Connect Failure on Primary Transport}\nAn attempt was made to connect to the remote server %hs on the primary transport, but the connection failed.\nThe computer WAS able to connect on a secondary transport."
272,  	"Page fault was a transition fault."
273,  	"Page fault was a demand zero fault."
274,  	"Page fault was a demand zero fault."

275,  	"The extended attributes did not fit in the buffer."
276,  	"The extended attribute file on the mounted file system is corrupt."
277,  	"The extended attribute table file is full."
278,  	"The specified extended attribute handle is invalid."

279,  	"Specified buffer contains all zeros."
280,  	"A reparse should be performed by the Object Manager since the name of the file resulted in a symbolic link."
281,  	"The device has succeeded a query-stop and its resource requirements have changed."

282,  	"The mounted file system does not support extended attributes."
288,  	"Attempt to release mutex not owned by caller."

289,  	"The directory service evaluated group memberships locally, as it was unable to contact a global catalog server."
290,  	"A process being terminated has no threads to terminate."
291,  	"The specified process is not part of a job."
292,  	"The specified process is part of a job."

298,  	"Too many posts were made to a semaphore."
299,  	"Only part of a ReadProcessMemory or WriteProcessMemory request was completed."
300,  	"The oplock request is denied."
301,  	"An invalid oplock acknowledgment was received by the system."
302,  	"The volume is too fragmented to complete this operation."
303,  	"The file cannot be opened because it is in the process of being deleted."
317,  	"The system cannot find message text for message number 0x%1 in the message file for %2."
487,  	"Attempt to access invalid address."
534,  	"Arithmetic result exceeded 32 bits."
535,  	"There is a process on other end of the pipe."
536,  	"Waiting for a process to open the other end of the pipe."

871,  	"An operation is blocked waiting for an oplock."

994,  	"Access to the extended attribute was denied."
995,  	"The I/O operation has been aborted because of either a thread exit or an application request."
996,  	"Overlapped I/O event is not in a signaled state."
997,  	"Overlapped I/O operation is in progress."
998,  	"Invalid access to memory location."
999,  	"Error performing inpage operation."
1001,  	"Recursion too deep; the stack overflowed."
1002,  	"The window cannot act on the sent message."
1003,  	"Cannot complete this function."
1004,  	"Invalid flags."
1005,  	"The volume does not contain a recognized file system.\nPlease make sure that all required file system drivers are loaded and that the volume is not corrupted."
1006,  	"The volume for a file has been externally altered so that the opened file is no longer valid."
1007,  	"The requested operation cannot be performed in full-screen mode."
1008,  	"An attempt was made to reference a token that does not exist."
1009,  	"The configuration registry database is corrupt."
1010,  	"The configuration registry key is invalid."
1011,  	"The configuration registry key could not be opened."
1012,  	"The configuration registry key could not be read."
1013,  	"The configuration registry key could not be written."
1014,  	"One of the files in the registry database had to be recovered by use of a log or alternate copy. The recovery was successful."
1015,  	"The registry is corrupted. The structure of one of the files containing registry data is corrupted, or the system's memory image of the file is corrupted, or the file could not be recovered because the alternate copy or log was absent or corrupted."
1016,  	"An I/O operation initiated by the registry failed unrecoverably. The registry could not read in, or write out, or flush, one of the files that contain the system's image of the registry."
1017,  	"The system has attempted to load or restore a file into the registry, but the specified file is not in a registry file format."
1018,  	"Illegal operation attempted on a registry key that has been marked for deletion."
1019,  	"System could not allocate the required space in a registry log."
1020,  	"Cannot create a symbolic link in a registry key that already has subkeys or values."
1021,  	"Cannot create a stable subkey under a volatile parent key."
1022,  	"A notify change request is being completed and the information is not being returned in the caller's buffer. The caller now needs to enumerate the files to find the changes."
1051,  	"A stop control has been sent to a service that other running services are dependent on."
1052,  	"The requested control is not valid for this service."
1053,  	"The service did not respond to the start or control request in a timely fashion."
1054,  	"A thread could not be created for the service."
1055,  	"The service database is locked."
1056,  	"An instance of the service is already running."
1057,  	"The account name is invalid or does not exist, or the password is invalid for the account name specified."
1058,  	"The service cannot be started, either because it is disabled or because it has no enabled devices associated with it."
1059,  	"Circular service dependency was specified."
1060,  	"The specified service does not exist as an installed service."
1061,  	"The service cannot accept control messages at this time."
1062,  	"The service has not been started."
1063,  	"The service process could not connect to the service controller."
1064,  	"An exception occurred in the service when handling the control request."
1065,  	"The database specified does not exist."
1066,  	"The service has returned a service-specific error code."
1067,  	"The process terminated unexpectedly."
1068,  	"The dependency service or group failed to start."
1069,  	"The service did not start due to a logon failure."
1070,  	"After starting, the service hung in a start-pending state."
1071,  	"The specified service database lock is invalid."
1072,  	"The specified service has been marked for deletion."
1073,  	"The specified service already exists."
1074,  	"The system is currently running with the last-known-good configuration."
1075,  	"The dependency service does not exist or has been marked for deletion."
1076,  	"The current boot has already been accepted for use as the last-known-good control set."
1077,  	"No attempts to start the service have been made since the last boot."
1078,  	"The name is already in use as either a service name or a service display name."
1079,  	"The account specified for this service is different from the account specified for other services running in the same process."
1080,  	"Failure actions can only be set for Win32 services, not for drivers."
1081,  	"This service runs in the same process as the service control manager.\nTherefore, the service control manager cannot take action if this service's process terminates unexpectedly."
1082,  	"No recovery program has been configured for this service."
1083,  	"The executable program that this service is configured to run in does not implement the service."
1084,  	"This service cannot be started in Safe Mode"
1100,  	"The physical end of the tape has been reached."
1101,  	"A tape access reached a filemark."
1102,  	"The beginning of the tape or a partition was encountered."
1103,  	"A tape access reached the end of a set of files."
1104,  	"No more data is on the tape."
1105,  	"Tape could not be partitioned."
1106,  	"When accessing a new tape of a multivolume partition, the current block size is incorrect."
1107,  	"Tape partition information could not be found when loading a tape."
1108,  	"Unable to lock the media eject mechanism."
1109,  	"Unable to unload the media."
1110,  	"The media in the drive may have changed."
1111,  	"The I/O bus was reset."
1112,  	"No media in drive."
1113,  	"No mapping for the Unicode character exists in the target multi-byte code page."
1114,  	"A dynamic link library (DLL) initialization routine failed."
1115,  	"A system shutdown is in progress."
1116,  	"Unable to abort the system shutdown because no shutdown was in progress."
1117,  	"The request could not be performed because of an I/O device error."
1118,  	"No serial device was successfully initialized. The serial driver will unload."
1119,  	"Unable to open a device that was sharing an interrupt request (IRQ) with other devices. At least one other device that uses that IRQ was already opened."
1120,  	"A serial I/O operation was completed by another write to the serial port.\n(The IOCTL_SERIAL_XOFF_COUNTER reached zero.)"
1121,  	"A serial I/O operation completed because the timeout period expired.\n(The IOCTL_SERIAL_XOFF_COUNTER did not reach zero.)"
1122,  	"No ID address mark was found on the floppy disk."
1123,  	"Mismatch between the floppy disk sector ID field and the floppy disk controller track address."
1124,  	"The floppy disk controller reported an error that is not recognized by the floppy disk driver."
1125,  	"The floppy disk controller returned inconsistent results in its registers."
1126,  	"While accessing the hard disk, a recalibrate operation failed, even after retries."
1127,  	"While accessing the hard disk, a disk operation failed even after retries."
1128,  	"While accessing the hard disk, a disk controller reset was needed, but even that failed."
1129,  	"Physical end of tape encountered."
1130,  	"Not enough server storage is available to process this command."
1131,  	"A potential deadlock condition has been detected."
1132,  	"The base address or the file offset specified does not have the proper alignment."
1140,  	"An attempt to change the system power state was vetoed by another application or driver."
1141,  	"The system BIOS failed an attempt to change the system power state."
1142,  	"An attempt was made to create more links on a file than the file system supports."
1150,  	"The specified program requires a newer version of Windows."
1151,  	"The specified program is not a Windows or MS-DOS program."
1152,  	"Cannot start more than one instance of the specified program."
1153,  	"The specified program was written for an earlier version of Windows."
1154,  	"One of the library files needed to run this application is damaged."
1155,  	"No application is associated with the specified file for this operation."
1156,  	"An error occurred in sending the command to the application."
1157,  	"One of the library files needed to run this application cannot be found."
1158,  	"The current process has used all of its system allowance of handles for Window Manager objects."
1159,  	"The message can be used only with synchronous operations."
1160,  	"The indicated source element has no media."
1161,  	"The indicated destination element already contains media."
1162,  	"The indicated element does not exist."
1163,  	"The indicated element is part of a magazine that is not present."
1164,  	"The indicated device requires reinitialization due to hardware errors."
1165,  	"The device has indicated that cleaning is required before further operations are attempted."
1166,  	"The device has indicated that its door is open."
1167,  	"The device is not connected."
1168,  	"Element not found."
1169,  	"There was no match for the specified key in the index."
1170,  	"The property set specified does not exist on the object."
1171,  	"The point passed to GetMouseMovePoints is not in the buffer."
1172,  	"The tracking (workstation) service is not running."
1173,  	"The Volume ID could not be found."
1175,  	"Unable to remove the file to be replaced."
1176,  	"Unable to move the replacement file to the file to be replaced. The file to be replaced has retained its original name."
1177,  	"Unable to move the replacement file to the file to be replaced. The file to be replaced has been renamed using the backup name."
1178,  	"The volume change journal is being deleted."
1179,  	"The volume change journal is not active."
1180,  	"A file was found, but it may not be the correct file."
1181,  	"The journal entry has been deleted from the journal."
1200,  	"The specified device name is invalid."
1201,  	"The device is not currently connected but it is a remembered connection."
1202,  	"The local device name has a remembered connection to another network resource."
1203,  	"No network provider accepted the given network path."
1204,  	"The specified network provider name is invalid."
1205,  	"Unable to open the network connection profile."
1206,  	"The network connection profile is corrupted."
1207,  	"Cannot enumerate a noncontainer."
1208,  	"An extended error has occurred."
1209,  	"The format of the specified group name is invalid."
1210,  	"The format of the specified computer name is invalid."
1211,  	"The format of the specified event name is invalid."
1212,  	"The format of the specified domain name is invalid."
1213,  	"The format of the specified service name is invalid."
1214,  	"The format of the specified network name is invalid."
1215,  	"The format of the specified share name is invalid."
1216,  	"The format of the specified password is invalid."
1217,  	"The format of the specified message name is invalid."
1218,  	"The format of the specified message destination is invalid."
1219,  	"Multiple connections to a server or shared resource by the same user, using more than one user name, are not allowed. Disconnect all previous connections to the server or shared resource and try again.."
1220,  	"An attempt was made to establish a session to a network server, but there are already too many sessions established to that server."
1221,  	"The workgroup or domain name is already in use by another computer on the network."
1222,  	"The network is not present or not started."
1223,  	"The operation was canceled by the user."
1224,  	"The requested operation cannot be performed on a file with a user-mapped section open."
1225,  	"The remote system refused the network connection."
1226,  	"The network connection was gracefully closed."
1227,  	"The network transport endpoint already has an address associated with it."
1228,  	"An address has not yet been associated with the network endpoint."
1229,  	"An operation was attempted on a nonexistent network connection."
1230,  	"An invalid operation was attempted on an active network connection."
1231,  	"The network location cannot be reached. For information about network troubleshooting, see Windows Help."
1232,  	"The network location cannot be reached. For information about network troubleshooting, see Windows Help."
1233,  	"The network location cannot be reached. For information about network troubleshooting, see Windows Help."
1234,  	"No service is operating at the destination network endpoint on the remote system."
1235,  	"The request was aborted."
1236,  	"The network connection was aborted by the local system."
1237,  	"The operation could not be completed. A retry should be performed."
1238,  	"A connection to the server could not be made because the limit on the number of concurrent connections for this account has been reached."
1239,  	"Attempting to log in during an unauthorized time of day for this account."
1240,  	"The account is not authorized to log in from this station."
1241,  	"The network address could not be used for the operation requested."
1242,  	"The service is already registered."
1243,  	"The specified service does not exist."
1244,  	"The operation being requested was not performed because the user has not been authenticated."
1245,  	"The operation being requested was not performed because the user has not logged on to the network.\nThe specified service does not exist."
1246,  	"Continue with work in progress."
1247,  	"An attempt was made to perform an initialization operation when initialization has already been completed."
1248,  	"No more local devices."
1249,  	"The specified site does not exist."
1250,  	"A domain controller with the specified name already exists."
1251,  	"This operation is supported only when you are connected to the server."
1252,  	"The group policy framework should call the extension even if there are no changes."
1253,  	"The specified user does not have a valid profile."
1254,  	"This operation is not supported on a Microsoft Small Business Server"
1255,  	"The server machine is shutting down."
1256,  	"The remote system is not available. For information about network troubleshooting, see Windows Help."
1257,  	"The security identifier provided is not from an account domain."
1258,  	"The security identifier provided does not have a domain component."
1259,  	"AppHelp dialog canceled thus preventing the application from starting."
1260,  	"Windows cannot open this program because it has been prevented by a software restriction policy. For more information, open Event Viewer or contact your system administrator."
1261,  	"A program attempt to use an invalid register value.  Normally caused by an uninitialized register. This error is Itanium specific."
1262,  	"The share is currently offline or does not exist."
1263,  	"The kerberos protocol encountered an error while validating the\nKDC certificate during smartcard logon."
1264,  	"The kerberos protocol encountered an error while attempting to utilize\nthe smartcard subsystem."
1265,  	"The system detected a possible attempt to compromise security. Please ensure that you can contact the server that authenticated you."
1266,  	"The smartcard certificate used for authentication has been revoked. \nPlease contact your system administrator.  There may be additional information in the \nevent log."
1267,  	"An untrusted certificate authority was detected While processing the \nsmartcard certificate used for authentication.  Please contact your system \nadministrator. "
1268,  	"The revocation status of the smartcard certificate used for \nauthentication could not be determined. Please contact your system administrator."
1269,  	"The smartcard certificate used for authentication was not trusted.  Please \ncontact your system administrator."
1270,  	"The smartcard certificate used for authentication has expired.  Please \ncontact your system administrator."
1271,  	"The machine is locked and can not be shut down without the force option."
1273,  	"An application-defined callback gave invalid data when called."
1274,  	"The group policy framework should call the extension in the synchronous foreground policy refresh."
1275,  	"This driver has been blocked from loading"
1276,  	"A dynamic link library (DLL) referenced a module that was neither a DLL nor the process's executable image."
1300,  	"Not all privileges referenced are assigned to the caller."
1301,  	"Some mapping between account names and security IDs was not done."
1302,  	"No system quota limits are specifically set for this account."
1303,  	"No encryption key is available. A well-known encryption key was returned."
1304,  	"The password is too complex to be converted to a LAN Manager password. The LAN Manager password returned is a NULL string."
1305,  	"The revision level is unknown."
1306,  	"Indicates two revision levels are incompatible."
1307,  	"This security ID may not be assigned as the owner of this object."
1308,  	"This security ID may not be assigned as the primary group of an object."
1309,  	"An attempt has been made to operate on an impersonation token by a thread that is not currently impersonating a client."
1310,  	"The group may not be disabled."
1311,  	"There are currently no logon servers available to service the logon request."
1312,  	"A specified logon session does not exist. It may already have been terminated."
1313,  	"A specified privilege does not exist."
1314,  	"A required privilege is not held by the client."
1315,  	"The name provided is not a properly formed account name."
1316,  	"The specified user already exists."
1317,  	"The specified user does not exist."
1318,  	"The specified group already exists."
1319,  	"The specified group does not exist."
1320,  	"Either the specified user account is already a member of the specified group, or the specified group cannot be deleted because it contains a member."
1321,  	"The specified user account is not a member of the specified group account."
1322,  	"The last remaining administration account cannot be disabled or deleted."
1323,  	"Unable to update the password. The value provided as the current password is incorrect."
1324,  	"Unable to update the password. The value provided for the new password contains values that are not allowed in passwords."
1325,  	"Unable to update the password. The value provided for the new password does not meet the length, complexity, or history requirement of the domain."
1326,  	"Logon failure: unknown user name or bad password."
1327,  	"Logon failure: user account restriction.  Possible reasons are blank passwords not allowed, logon hour restrictions, or a policy restriction has been enforced."
1328,  	"Logon failure: account logon time restriction violation."
1329,  	"Logon failure: user not allowed to log on to this computer."
1330,  	"Logon failure: the specified account password has expired."
1331,  	"Logon failure: account currently disabled."
1332,  	"No mapping between account names and security IDs was done."
1333,  	"Too many local user identifiers (LUIDs) were requested at one time."
1334,  	"No more local user identifiers (LUIDs) are available."
1335,  	"The subauthority part of a security ID is invalid for this particular use."
1336,  	"The access control list (ACL) structure is invalid."
1337,  	"The security ID structure is invalid."
1338,  	"The security descriptor structure is invalid."
1340,  	"The inherited access control list (ACL) or access control entry (ACE) could not be built."
1341,  	"The server is currently disabled."
1342,  	"The server is currently enabled."
1343,  	"The value provided was an invalid value for an identifier authority."
1344,  	"No more memory is available for security information updates."
1345,  	"The specified attributes are invalid, or incompatible with the attributes for the group as a whole."
1346,  	"Either a required impersonation level was not provided, or the provided impersonation level is invalid."
1347,  	"Cannot open an anonymous level security token."
1348,  	"The validation information class requested was invalid."
1349,  	"The type of the token is inappropriate for its attempted use."
1350,  	"Unable to perform a security operation on an object that has no associated security."
1351,  	"Configuration information could not be read from the domain controller, either because the machine is unavailable, or access has been denied."
1352,  	"The security account manager (SAM) or local security authority (LSA) server was in the wrong state to perform the security operation."
1353,  	"The domain was in the wrong state to perform the security operation."
1354,  	"This operation is only allowed for the Primary Domain Controller of the domain."
1355,  	"The specified domain either does not exist or could not be contacted."
1356,  	"The specified domain already exists."
1357,  	"An attempt was made to exceed the limit on the number of domains per server."
1358,  	"Unable to complete the requested operation because of either a catastrophic media failure or a data structure corruption on the disk."
1359,  	"An internal error occurred."
1360,  	"Generic access types were contained in an access mask which should already be mapped to nongeneric types."
1361,  	"A security descriptor is not in the right format (absolute or self-relative)."
1362,  	"The requested action is restricted for use by logon processes only. The calling process has not registered as a logon process."
1363,  	"Cannot start a new logon session with an ID that is already in use."
1364,  	"A specified authentication package is unknown."
1365,  	"The logon session is not in a state that is consistent with the requested operation."
1366,  	"The logon session ID is already in use."
1367,  	"A logon request contained an invalid logon type value."
1368,  	"Unable to impersonate using a named pipe until data has been read from that pipe."
1369,  	"The transaction state of a registry subtree is incompatible with the requested operation."
1370,  	"An internal security database corruption has been encountered."
1371,  	"Cannot perform this operation on built-in accounts."
1372,  	"Cannot perform this operation on this built-in special group."
1373,  	"Cannot perform this operation on this built-in special user."
1374,  	"The user cannot be removed from a group because the group is currently the user's primary group."
1375,  	"The token is already in use as a primary token."
1376,  	"The specified local group does not exist."
1377,  	"The specified account name is not a member of the local group."
1378,  	"The specified account name is already a member of the local group."
1379,  	"The specified local group already exists."
1380,  	"Logon failure: the user has not been granted the requested logon type at this computer."
1381,  	"The maximum number of secrets that may be stored in a single system has been exceeded."
1382,  	"The length of a secret exceeds the maximum length allowed."
1383,  	"The local security authority database contains an internal inconsistency."
1384,  	"During a logon attempt, the user's security context accumulated too many security IDs."
1385,  	"Logon failure: the user has not been granted the requested logon type at this computer."
1386,  	"A cross-encrypted password is necessary to change a user password."
1387,  	"A member could not be added to or removed from the local group because the member does not exist."
1388,  	"A new member could not be added to a local group because the member has the wrong account type."
1389,  	"Too many security IDs have been specified."
1390,  	"A cross-encrypted password is necessary to change this user password."
1391,  	"Indicates an ACL contains no inheritable components."
1392,  	"The file or directory is corrupted and unreadable."
1393,  	"The disk structure is corrupted and unreadable."
1394,  	"There is no user session key for the specified logon session."
1395,  	"The service being accessed is licensed for a particular number of connections.\nNo more connections can be made to the service at this time because there are already as many connections as the service can accept."
1396,  	"Logon Failure: The target account name is incorrect."
1397,  	"Mutual Authentication failed. The server's password is out of date at the domain controller."
1398,  	"There is a time and/or date difference between the client and server."
1399,  	"This operation can not be performed on the current domain."
1400,  	"Invalid window handle."
1401,  	"Invalid menu handle."
1402,  	"Invalid cursor handle."
1403,  	"Invalid accelerator table handle."
1404,  	"Invalid hook handle."
1405,  	"Invalid handle to a multiple-window position structure."
1406,  	"Cannot create a top-level child window."
1407,  	"Cannot find window class."
1408,  	"Invalid window; it belongs to other thread."
1409,  	"Hot key is already registered."
1410,  	"Class already exists."
1411,  	"Class does not exist."
1412,  	"Class still has open windows."
1413,  	"Invalid index."
1414,  	"Invalid icon handle."
1415,  	"Using private DIALOG window words."
1416,  	"The list box identifier was not found."
1417,  	"No wildcards were found."
1418,  	"Thread does not have a clipboard open."
1419,  	"Hot key is not registered."
1420,  	"The window is not a valid dialog window."
1421,  	"Control ID not found."
1422,  	"Invalid message for a combo box because it does not have an edit control."
1423,  	"The window is not a combo box."
1424,  	"Height must be less than 256."
1425,  	"Invalid device context (DC) handle."
1426,  	"Invalid hook procedure type."
1427,  	"Invalid hook procedure."
1428,  	"Cannot set nonlocal hook without a module handle."
1429,  	"This hook procedure can only be set globally."
1430,  	"The journal hook procedure is already installed."
1431,  	"The hook procedure is not installed."
1432,  	"Invalid message for single-selection list box."
1433,  	"LB_SETCOUNT sent to non-lazy list box."
1434,  	"This list box does not support tab stops."
1435,  	"Cannot destroy object created by another thread."
1436,  	"Child windows cannot have menus."
1437,  	"The window does not have a system menu."
1438,  	"Invalid message box style."
1439,  	"Invalid system-wide (SPI_*) parameter."
1440,  	"Screen already locked."
1441,  	"All handles to windows in a multiple-window position structure must have the same parent."
1442,  	"The window is not a child window."
1443,  	"Invalid GW_* command."
1444,  	"Invalid thread identifier."
1445,  	"Cannot process a message from a window that is not a multiple document interface (MDI) window."
1446,  	"Popup menu already active."
1447,  	"The window does not have scroll bars."
1448,  	"Scroll bar range cannot be greater than MAXLONG."
1449,  	"Cannot show or remove the window in the way specified."
1450,  	"Insufficient system resources exist to complete the requested service."
1451,  	"Insufficient system resources exist to complete the requested service."
1452,  	"Insufficient system resources exist to complete the requested service."
1453,  	"Insufficient quota to complete the requested service."
1454,  	"Insufficient quota to complete the requested service."
1455,  	"The paging file is too small for this operation to complete."
1456,  	"A menu item was not found."
1457,  	"Invalid keyboard layout handle."
1458,  	"Hook type not allowed."
1459,  	"This operation requires an interactive window station."
1460,  	"This operation returned because the timeout period expired."
1461,  	"Invalid monitor handle."
1500,  	"The event log file is corrupted."
1501,  	"No event log file could be opened, so the event logging service did not start."
1502,  	"The event log file is full."
1503,  	"The event log file has changed between read operations."
1601,  	"The Windows Installer Service could not be accessed. This can occur if you are running Windows in safe mode, or if the Windows Installer is not correctly installed. Contact your support personnel for assistance."
1602,  	"User cancelled installation."
1603,  	"Fatal error during installation."
